Location,Count,Time,Weekday
Marino Center - Studio B,2,12:11:23,Sunday
Marino Center - 2nd Floor,24,12:11:23,Sunday
Marino Center - Gymnasium,17,12:11:23,Sunday
Marino Center - 3rd Floor Weight Room,28,12:11:23,Sunday
Marino Center - 3rd Floor Select & Cardio,21,12:11:23,Sunday
SquashBusters - 4th Floor,16,12:36:55,Sunday
Marino Center - Studio A,3,12:36:55,Sunday
Marino Center - Studio B,0,12:36:55,Sunday
Marino Center - 2nd Floor,20,12:36:55,Sunday
Marino Center - Gymnasium,14,12:36:55,Sunday
Marino Center - 3rd Floor Weight Room,29,12:36:55,Sunday
Marino Center - 3rd Floor Select & Cardio,23,12:36:55,Sunday
SquashBusters - 4th Floor,16,13:17:38,Sunday
Marino Center - Studio A,3,13:17:38,Sunday
Marino Center - Studio B,0,13:17:38,Sunday
Marino Center - 2nd Floor,20,13:17:38,Sunday
Marino Center - Gymnasium,14,13:17:38,Sunday
Marino Center - 3rd Floor Weight Room,31,13:17:38,Sunday
Marino Center - 3rd Floor Select & Cardio,25,13:17:38,Sunday
SquashBusters - 4th Floor,16,13:42:44,Sunday
Marino Center - Studio A,3,13:42:44,Sunday
Marino Center - Studio B,0,13:42:44,Sunday
Marino Center - 2nd Floor,20,13:42:44,Sunday
Marino Center - Gymnasium,14,13:42:44,Sunday
Marino Center - 3rd Floor Weight Room,31,13:42:44,Sunday
Marino Center - 3rd Floor Select & Cardio,25,13:42:44,Sunday
SquashBusters - 4th Floor,16,14:10:35,Sunday
Marino Center - Studio A,5,14:10:35,Sunday
Marino Center - Studio B,2,14:10:35,Sunday
Marino Center - 2nd Floor,17,14:10:35,Sunday
Marino Center - Gymnasium,10,14:10:35,Sunday
Marino Center - 3rd Floor Weight Room,31,14:10:35,Sunday
Marino Center - 3rd Floor Select & Cardio,25,14:10:35,Sunday
SquashBusters - 4th Floor,16,14:35:26,Sunday
Marino Center - Studio A,5,14:35:26,Sunday
Marino Center - Studio B,2,14:35:26,Sunday
Marino Center - 2nd Floor,17,14:35:26,Sunday
Marino Center - Gymnasium,10,14:35:26,Sunday
Marino Center - 3rd Floor Weight Room,31,14:35:26,Sunday
Marino Center - 3rd Floor Select & Cardio,25,14:35:26,Sunday
SquashBusters - 4th Floor,16,15:14:27,Sunday
Marino Center - Studio A,5,15:14:27,Sunday
Marino Center - Studio B,2,15:14:27,Sunday
Marino Center - 2nd Floor,17,15:14:27,Sunday
Marino Center - Gymnasium,10,15:14:27,Sunday
Marino Center - 3rd Floor Weight Room,33,15:14:27,Sunday
Marino Center - 3rd Floor Select & Cardio,18,15:14:27,Sunday
SquashBusters - 4th Floor,16,15:37:16,Sunday
Marino Center - Studio A,5,15:37:16,Sunday
Marino Center - Studio B,2,15:37:16,Sunday
Marino Center - 2nd Floor,19,15:37:16,Sunday
Marino Center - Gymnasium,12,15:37:16,Sunday
Marino Center - 3rd Floor Weight Room,35,15:37:16,Sunday
Marino Center - 3rd Floor Select & Cardio,25,15:37:16,Sunday
SquashBusters - 4th Floor,16,16:12:12,Sunday
Marino Center - Studio A,8,16:12:12,Sunday
Marino Center - Studio B,7,16:12:12,Sunday
Marino Center - 2nd Floor,35,16:12:12,Sunday
Marino Center - Gymnasium,41,16:12:12,Sunday
Marino Center - 3rd Floor Weight Room,39,16:12:12,Sunday
Marino Center - 3rd Floor Select & Cardio,19,16:12:12,Sunday
SquashBusters - 4th Floor,16,16:35:35,Sunday
Marino Center - Studio A,8,16:35:35,Sunday
Marino Center - Studio B,7,16:35:35,Sunday
Marino Center - 2nd Floor,35,16:35:35,Sunday
Marino Center - Gymnasium,41,16:35:35,Sunday
Marino Center - 3rd Floor Weight Room,40,16:35:35,Sunday
Marino Center - 3rd Floor Select & Cardio,27,16:35:35,Sunday
SquashBusters - 4th Floor,16,17:12:34,Sunday
Marino Center - Studio A,7,17:12:34,Sunday
Marino Center - Studio B,5,17:12:34,Sunday
Marino Center - 2nd Floor,37,17:12:34,Sunday
Marino Center - Gymnasium,44,17:12:34,Sunday
Marino Center - 3rd Floor Weight Room,41,17:12:34,Sunday
Marino Center - 3rd Floor Select & Cardio,30,17:12:34,Sunday
SquashBusters - 4th Floor,16,17:39:19,Sunday
Marino Center - Studio A,5,17:39:19,Sunday
Marino Center - Studio B,6,17:39:19,Sunday
Marino Center - 2nd Floor,36,17:39:19,Sunday
Marino Center - Gymnasium,36,17:39:19,Sunday
Marino Center - 3rd Floor Weight Room,41,17:39:19,Sunday
Marino Center - 3rd Floor Select & Cardio,30,17:39:19,Sunday
SquashBusters - 4th Floor,16,18:12:58,Sunday
Marino Center - Studio A,7,18:12:58,Sunday
Marino Center - Studio B,4,18:12:58,Sunday
Marino Center - 2nd Floor,37,18:12:58,Sunday
Marino Center - Gymnasium,48,18:12:58,Sunday
Marino Center - 3rd Floor Weight Room,46,18:12:58,Sunday
Marino Center - 3rd Floor Select & Cardio,42,18:12:58,Sunday
SquashBusters - 4th Floor,16,18:36:00,Sunday
Marino Center - Studio A,7,18:36:00,Sunday
Marino Center - Studio B,4,18:36:00,Sunday
Marino Center - 2nd Floor,37,18:36:00,Sunday
Marino Center - Gymnasium,48,18:36:00,Sunday
Marino Center - 3rd Floor Weight Room,46,18:36:00,Sunday
Marino Center - 3rd Floor Select & Cardio,42,18:36:00,Sunday
